NAICS Code,Description
111110,Soybean Farming
112120,Dairy Cattle and Milk Production
113310,Logging
114111,Finfish Fishing
115310,Support Activities for Forestry
211120,Crude Petroleum Extraction
212210,Iron Ore Mining
221310,Water Supply and Irrigation Systems
311615,Poultry Processing
322291,Sanitary Paper Product Manufacturing
333111,Farm Machinery and Equipment Manufacturing
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
511210,Software Publishers
524210,Insurance Agencies and Brokerages
541330,Engineering Services
561730,Landscaping Services
611310,"Colleges, Universities, and Professional Schools"
621111,Offices of Physicians
722513,Limited-Service Restaurants
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
